Date,Time,Closed,Type,PnL,PnL %,SL Hit,Cumulative PnL,Cumulative %,W/L,Total PnL,Total PnL %,Max Drawdown %,Annualised Sharpe Ratio
0,0,0,0,0,0.0,0,0,0.0,0.25,6263.459162229772,12.526918324459544,-3.0,0.536701868885176
2023-09-08,,2023-11-09,Sell,-500.0,-1.0,True,-500.0,-1.0,,,,,
2023-11-28,,2024-01-02,Buy,-499.99999999999994,-0.9999999999999999,True,-1000.0,-2.0,,,,,
2024-03-01,,2024-05-03,Sell,-500.0,-1.0,True,-1500.0,-3.0,,,,,
2024-05-23,,,Buy,7763.459162229772,15.526918324459544,,6263.459162229772,12.526918324459544,,,,,
